RC Re-Mapped Sector,RC Re-Mapped Industry,RC Re-Mapped Sub-Industry,Zoominfo New Industry Name,Zoominfo New Sub Industry Name
Manufacturing,Discrete Manufacturing,Tires & Rubber,Manufacturing,Tires & Rubber
Manufacturing,Discrete Manufacturing,Telecommunication Equipment,Manufacturing,Telecommunication Equipment
Manufacturing,Discrete Manufacturing,Test & Measurement Equipment,Manufacturing,Test & Measurement Equipment
Manufacturing,Discrete Manufacturing,"Hand, Power & Lawn-care Tools",Manufacturing,"Hand, Power & Lawn-care Tools"
Manufacturing,Process Manufacturing,Wire & Cable,Manufacturing,Wire & Cable
Manufacturing,Discrete Manufacturing,Aerospace & Defense,Manufacturing,Aerospace & Defense
Retail & Consumer Products,Retail,Auto Dealers and Service,Retail,Automobile Dealers
Retail,Retail,Specialty,Retail,Automobile Parts Stores
Natural Resources,Agriculture,Agriculture,Agriculture,
Natural Resources,Agriculture,Animals & Livestock,Agriculture,Animals & Livestock
Natural Resources,Agriculture,Crops,Agriculture,Crops
Natural Resources,Agriculture,Forestry,Agriculture,Forestry
Natural Resources,Minerals & Mining,Minerals & Mining,Minerals & Mining,Minerals & Mining
Professional & Consumer services,Professional Services,Holding Companies & Conglomerates,Holding Companies & Conglomerates,no new sub industry
Professional & Consumer services,Professional Services,Law Firms & Legal Services,Law Firms & Legal Services,no new sub industry
Professional & Consumer services,Professional Services,Business services,Business Services,
Professional & Consumer services,Professional Services,Accounting Services,Business Services,Accounting Services
Professional & Consumer services,Professional Services,Call Centers & Business Centers,Business Services,Call Centers & Business Centers
Professional & Consumer services,Professional Services,Management Consulting,Business Services,Management Consulting
Professional & Consumer services,Professional Services,Information & Document Management,Business Services,Information & Document Management
Professional & Consumer services,Professional Services,Multimedia & Graphic Design,Business Services,Multimedia & Graphic Design
Professional & Consumer services,Professional Services,HR & Staffing,Business Services,HR & Staffing
Professional & Consumer services,Professional Services,Facilities Management & Commercial Cleaning,Business Services,Facilities Management & Commercial Cleaning
Professional & Consumer services,Professional Services,Translation & Linguistic Services,Business Services,Translation & Linguistic Services
Professional & Consumer services,Professional Services,Research & Development,Business Services,Research & Development
Professional & Consumer services,Professional Services,Security Products & Services,Business Services,Security Products & Services
Professional & Consumer services,Professional Services,"Architecture, Engineering & Design",Construction,"Architecture, Engineering & Design"
Professional & Consumer services,Consumer Services,Consumer services,Consumer Services,
Professional & Consumer services,Consumer Services,Funeral Homes & Funeral Related Services,Consumer Services,Funeral Homes & Funeral Related Services
Professional & Consumer services,Consumer Services,Landscape Services,Consumer Services,Landscape Services
Professional & Consumer services,Professional Services,Cleaning Services,Consumer Services,Cleaning Services
Professional & Consumer services,Consumer Services,Photography Studio,Consumer Services,Photography Studio
Professional & Consumer services,Consumer Services,Repair Services,Consumer Services,Repair Services
Professional & Consumer services,Consumer Services,Weight & Health Management,Consumer Services,Weight & Health Management
Education,K-12,K-12,Education,K-12 Schools
Professional & Consumer services,Consumer Services,Veterinary Services,Healthcare Services,Veterinary Services
Public Sector ,Government,Government,Government,
Public Sector ,Federal ,Federal ,Government,Federal
Public Sector ,State & Local,Local,Government,Local
Public Sector ,State & Local,State,Government,State
Public Sector ,Federal ,Tribal Nations ,Government,Tribal Nations
Nonprofit,Nonprofit,Nonprofit,Organizations,
Nonprofit,Charitable Organizations ,Charitable Organizations ,Organizations,Non-Profit & Charitable Organizations 
Nonprofit,Membership Organizations ,Membership Organizations ,Organizations,Membership Organizations
Nonprofit,Religious Organizations ,Religious Organizations ,Organizations,Religious Organizations
Public Sector,State & Local ,Chamber of Commerce ,Business Services,Chambers of Commerce
Education ,Education ,Child Care & Preschool,Consumer Services,Childcare
Education ,Education ,Vocational Schools ,Consumer Services,Barber Shops & Beauty Salons
Education,Education,Education,Education,
Education,Training ,Training ,Education,Training
Education ,Higher Education ,Higher Education,Education,Colleges & Universities
Public Sector ,State & Local,Museums & Art Galleries,Hospitality,Museums & Art Galleries
Public Sector ,State & Local,Zoos & National Parks,Hospitality,Zoos & National Parks
